code;description
0;Possessions (Puerto Rico, Guam, Canal Zone, Virgin Islands, American Samoa)
1;All cities 250,000 or over
1A;Cities 1,000,000 or over
1B;Cities from 500,000 thru 999,999
1C;Cities from 250,000 thru 499,999
2;Cities from 100,000 thru 249,999
3;Cities from 50,000 thru 99,999
4;Cities from 25,000 thru 49,999
5;Cities from 10,000 thru 24,999
6;Cities under 2,500
7;Non-MSA Counties
8;Non-MSA counties 100,000 or over
8A;Non-MSA counties 100,000 or over
8B;Non-MSA counties from 25,000 thru 99,999
8C;Non-MSA counties from 10,000 thru 24,999
8D;Non-MSA counties under 10,000
8E;Non-MSA State Police
9;MSA Counties
9A;MSA counties 100,000 or over
9B;MSA counties from 25,000 thru 99,999
9C;MSA counties from 10,000 thru 24,999
9D;MSA counties under 10,000
9E;MSA State Police